title,author,publisher
The Grapes of Wrath,John Steinbeck,Barnes & Noble
Candide,Voltaire,Barnes & Noble
Imaginary Homelands,Salman Rushdie,Vintage
Foundation's Edge,Isaac Asimov,
Around the World in Eighty Days,Jules Verne,
Cryptonomicon,Neal Stephenson,Perennial
Asimov's Caliban,Roger MacBride Allen,Ace
The Greatest Show on Earth,Richard Dawkins,Free Press
The Science of Leonardo,Fritjof Capra,Anchor
"Guns, Germs, and Steel",Jared Diamond,Norton
Bully for Brontosaurus,Stephen Jay Gould,Norton
The Hidden Life of Trees,Peter Wohlleben,Greystone
Coming of Age in the Milky Way,Timothy Ferris,
Genome,Matt Ridley,Harper Perennial
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Broadway Books
The Third Chimpanzee,Jared Diamond,Harper Perennial
The God Delusion,Richard Dawkins,Mariner
Ever Since Darwin,Stephen Jay Gould,Norton
Silent Spring,Rachel Carson,Mariner
Who We Are and How We Got Here,David Reich,Vintage
The Collapsing Universe,Isaac Asimov,
Minerals of the World,,Princeton
Disturbing the Universe,Freeman Dyson,Basic Books
Genius,James Gleick,Vintage
1491,Charles C. Mann,Vintage
The Double Helix,James D. Watson,Touchstone
Journey of the Universe,Brian Thomas Swimme,Yale
The Wonder That Was India,A.L. Basham,Picador
Jaya,Devdutt Pattanaik,Penguin
Sita,Devdutt Pattanaik,Penguin
Secret of the Veda,Sri Aurobindo,Lotus
Bhagavad Gita As It Is,A.C. Bhaktivedanta Swami Prabhupada,Bhaktivedanta Book Trust
Bhagavad Gita and Its Message,Sri Aurobindo,Lotus
India: A History,John Keay,Harper Perennial
Walden and Civil Disobedience,Henry David Thoreau,Barnes & Noble
"The Courtesan, the Mahatma & the Italian Brahmin",Manu S. Pillai,Context
Freedom at Midnight,Dominique Lapierre and Larry Collins,Vikas
India's Bismarck: Sardar Vallabhbhai Patel,Balraj Krishna,Indus
Bollywood Melodies,Ganesh Anantharaman,Penguin
India,Shashi Tharoor,Penguin
Patriots & Partisans,Ramachandra Guha,Penguin
Another Way to Live,R.L. Kapur,Penguin
My Gita,Devdutt Pattanaik,Rupa
Hanuman Chalisa,Devdutt Pattanaik,Rupa
Myth = Mithya,Devdutt Pattanaik,Penguin
Train to Pakistan,Khushwant Singh,Penguin
Small is Big,Amit Agarwal,Penguin
Making India Awesome,Chetan Bhagat,Rupa
Autobiography of a Yogi,Paramahansa Yogananda,Self-Realization Fellowship
Five Great Dialogues,Plato,Classics Club
On Man in the Universe,Aristotle,Classics Club
Rendezvous with Rama,Arthur C. Clarke,Bantam
The Sentinel,Arthur C. Clarke,
Heart of Darkness,Joseph Conrad,Norton
The Adventures of Tom Sawyer,Mark Twain,
The Soloist,Steve Lopez,
A River Sutra,Gita Mehta,Vintage
The Moor's Last Sigh,Salman Rushdie,Vintage
The Odyssey of Homer,Homer,Harper Perennial
The Enchantress of Florence,Salman Rushdie,Vintage
Too Much Happiness,Alice Munro,Vintage
The Penguin Book of Indian Railway Stories,Ruskin Bond,Penguin
The Lost World,Arthur Conan Doyle,
The Calcutta Chromosome,Amitav Ghosh,Penguin
Hard Times,Charles Dickens,
The Hobbit,J.R.R. Tolkien,Del Rey
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Del Rey
Smith of Wootton Major & Farmer Giles of Ham,J.R.R. Tolkien,Del Rey
The Two Towers,J.R.R. Tolkien,Del Rey
The Other Side of the Sky,Arthur C. Clarke,
Star Begotten,H.G. Wells,
Second Foundation,Isaac Asimov,
The Time Machine,H.G. Wells,
Siddhartha,Hermann Hesse,
One Hundred Years of Solitude,Gabriel Garcia Marquez,
The Return of the King,J.R.R. Tolkien,
The Fellowship of the Ring,J.R.R. Tolkien,
The Journals of Lewis and Clark,Lewis and Clark,Signet
To the Ends of the Earth,Paul Theroux,
Epic: Stories of Survival,Clint Willis,
The Ultimate Hiker's Gear Guide,Andrew Skurka,National Geographic
Venice & The Veneto,,DK
California,,DK
Hawaii,,DK
Great Britain,,DK
Prague,,DK
Portugal,,DK
Amsterdam,,DK
Greece,,DK
Venice & The Veneto,,DK
Hong Kong,,Frommer's
Spain,,Fodor's
Hawaii 2010,,Frommer's
South America on a shoestring,,Lonely Planet
500 Places to Take Your Kids Before They Grow Up,,Frommer's
South India,,Lonely Planet
Maximum City,Suketu Mehta,Vintage
"Chai, Chai",Bishwanath Ghosh,Tranquebar
Blue Highways,William Least Heat-Moon,
The Worst-Case Scenario Survival Handbook: Travel,Joshua Piven,Chronicle Books
Spanish for Travelers,,Fodor's
Places,Jan Morris,Vintage
Road Angels,Shirley MacLaine,Bantam
Vienna to Salzburg,,Fodor's
Germany,,Frommer's
Physics in 100 Numbers,Colin Stuart,A
The Year in Tech 2026,,HBR
The Cyberiad,Stanislaw Lem,Penguin Modern Classics
Sphere,Michael Crichton,
Timeline,Michael Crichton,
The Third Wave,Alvin Toffler,Bantam
The Greatest Tamil Stories Ever Told,Sujatha Vijayaraghavan,Aleph
What If?,Randall Munroe,HMH
Uncle Tungsten,Oliver Sacks,Picador
Destination Earth,Nicos Hadjicostis,Bamboo Leaf Press
Collected Fiction,Hannu Rajaniemi,Tachyon
Emergence,Steven Johnson,
The Case for Mars,Robert Zubrin,Free Press
On Intelligence,Jeff Hawkins,
Intuition Pumps and Other Tools for Thinking,Daniel C. Dennett,Norton
Inheritance,Harvey Whitehouse,Penguin
A Tour on the Prairies,Washington Irving,Oklahoma
The Dragons of Eden,Carl Sagan,Ballantine
Origins,Richard E. Leakey,
Turbulent Mirror,John Briggs,Harper & Row
For All Practical Purposes,COMAP,Freeman
Chaos,James Gleick,Viking
Mastery,Robert Greene,Penguin
Consilience,Edward O. Wilson,Vintage
Coyote America,Dan Flores,Basic Books
The Memory Bible,Gary Small,Hyperion
The Epic of Gilgamesh,N.K. Sandars,Penguin Classics
The Firmament of Time,Loren Eiseley,
The Language Puzzle,Steven Mithen,Profile Books
The Beginning of Infinity,David Deutsch,Penguin
The God Delusion,Richard Dawkins,HMH
The DIM Hypothesis,Leonard Peikoff,New American Library
Man's Search for Meaning,Viktor E. Frankl,Beacon Press
Meditations for Wellness and Inspired Living,Yogi Arvind Chittumalla,
The Man Who Invented Fiction,William Egginton,Bloomsbury
Don Quixote,Cervantes,Penguin Classics
The Indian Trilogy,V.S. Naipaul,Picador India
Life on the Mississippi,Mark Twain,Harper & Row
Sun After Dark,Pico Iyer,
Scientists & Inventors,,Facts On File
Tintin and the Broken Ear,Hergé,"Little, Brown"
Cigars of the Pharaoh,Hergé,"Little, Brown"
Physics Part 2,"David Halliday, Robert Resnick",Wiley
Around the World in 50 Years,Albert Podell,Thomas Dunne Books
Stuff Matters,Mark Miodownik,HMH
The Adventures of Tintin Volume 7,Hergé,"Little, Brown"
The Adventures of Tintin Volume 6,Hergé,"Little, Brown"
The Adventures of Tintin Volume 5,Hergé,"Little, Brown"
Collapse,Jared Diamond,Penguin
Einstein for Beginners,Schwartz & McGuinness,
100 Questions for Dad,,
Walk Two Moons,Sharon Creech,Harper Trophy
The Count of Monte Cristo,Alexandre Dumas,Modern Library
Chaucer The Canterbury Tales,Geoffrey Chaucer,
Mind Transfer,Janet Asimov,Ace
The Federalist Papers,"Alexander Hamilton, James Madison, and John Jay",Enriched Classic
The First Three Minutes,Steven Weinberg,Basic Books
The Hunchback of Notre Dame,Victor Hugo,Signet Classic
Mirror Mirror,Gregory Maguire,Regan Books
Programming Collective Intelligence,Toby Segaran,O'Reilly
The Well-Trained Mind,Susan Wise Bauer and Jessie Wise,Norton
The War Against Cliche,Martin Amis,Vintage
How to Read Literature Like a Professor,Thomas C. Foster,Harper
Among the Believers,V.S. Naipaul,Vintage
Book Lust,Nancy Pearl,Sasquatch Books
Why Evolution is True,Jerry A. Coyne,Penguin
Relativity,Albert Einstein,Pi Press
Pocket World Atlas,,Oxford
Our Cosmic Habitat,Martin Rees,Princeton
Points of View,James Moffett and Kenneth R. McElheny,Mentor
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Norton
The 50th Law,50 Cent and Robert Greene,Profile Books
Captains Courageous,Rudyard Kipling,Bantam
The Romantic Manifesto,Ayn Rand,Signet
Six Easy Pieces,Richard P. Feynman,Basic Books
Snow Crash,Neal Stephenson,Del Rey
Gateway,Frederik Pohl,Del Rey
Martin Chuzzlewit,Charles Dickens,Everyman's Library
The Rise of Io,Wesley Chu,Angry Robot
Louder Than Words,Joe Navarro,Harper Business
The World is Flat,Thomas L. Friedman,"Farrar, Straus and Giroux"
Tools of Titans,Tim Ferriss,HMH
The Next Conversation,,Tarcher Perigee
The Survivors Club,Ben Sherwood,Grand Central Publishing
The Greatness Mindset,Lewis Howes,Hay House
The 48 Laws of Power,Robert Greene,Penguin
The Well-Spoken Thesaurus,Tom Heehler,Sourcebooks
The Pathless Path,Paul Millerd,
Thinking in Bets,Annie Duke,Portfolio / Penguin
The Personal MBA,Josh Kaufman,Portfolio / Penguin
The Wisdom of Finance,Mihir A. Desai,HMH
Range,David Epstein,Riverhead Books
The Lean Startup,Eric Ries,Crown Business
The Ikigai Journey,Hector Garcia and Francesc Miralles,Tuttle
"Thinking, Fast and Slow",Daniel Kahneman,FSG
The Art of Possibility,Rosamund Stone Zander and Benjamin Zander,Penguin
The Magic of Thinking Big,David J. Schwartz,Fireside
The Psychology of Money,Morgan Housel,Harriman House
Buffett,Roger Lowenstein,Random House
The Thinker's Toolkit,Morgan D. Jones,Three Rivers Press
The Cartoon Guide to Physics,Larry Gonick & Art Huffman,HarperPerennial
Connections,James Burke,Back Bay Books
More Puzzlegrams,Pentagram,Fireside
Lettering Design,,Bonanza
The Big Book of Brain Games,Ivan Moscovich,Workman
Eden,Devdutt Pattanaik,Penguin Books
The Illustrated Ramayana,,DK
The Illustrated Mahabharata,,DK
Great Photographers,,Time Life Books
The Great Themes,,Time Life Books
Color,,Time Life Books
Special Problems,,Time Life Books
The Art of Photography,,Time Life Books
Life Before Man,,Time Life Books
The Neanderthals,,Time Life Books
The Missing Link,,Time Life Books
The First Men,,Time Life Books
Historic India,,Time Life Books
Growth,,Time Life Books
The Mind,,Time Life Books
African Kingdoms,,Time Life Books
Continents in Collision,,Time Life Books
The Pacific States,,Time Life Books
World's Greatest Cities,,Time Life Books
Journeys of a Lifetime,,National Geographic
Wild Yellowstone,,National Geographic
Concise History of the World,Kagan,National Geographic
Examples: The Making of 40 Photographs,Ansel Adams,"Little, Brown"
The Photographer's Eye,Michael Freeman,
The Elements,Theodore Gray,Black Dog & Leventhal
Solar System,Marcus Chown,Black Dog & Leventhal
D'Aulaires' Book of Greek Myths,Ingri and Edgar Parin d'Aulaire,Doubleday
Gem & Stone,Altman,Chronicle Books
Great Discoveries,,Time
"Water, Rock, & Time",Eves,Zion Natural History Association
Nightwatch,Terence Dickinson,Firefly
Universe,Nicolas Cheetham,Smith Davies
The Penguin History of the World,J.M. Roberts,Penguin
India Unbound,Gurcharan Das,Penguin
The Sovereign Individual,James Dale Davidson,Touchstone
The Forgotten Man,Amity Shlaes,Harper Perennial
Economics in One Lesson,Henry Hazlitt,Currency
Zen Garden,Subroto Bagchi,Penguin
Maryada,Arshia Sattar,HarperCollins
How Proust Can Change Your Life,Alain de Botton,Vintage
Beyond Belief,V.S. Naipaul,Vintage
What Justice Demands,Elan Journo,New American Library
Tales to Live By,Kamla K. Kapur,Jaico
Half-Lion,Vinay Sitapati,Penguin
The Idea of India,Sunil Khilnani,Penguin
Jugaad Yatra,Dean Nelson,Aleph
Early India,Romila Thapar,Penguin
The Great Indian Novel,Shashi Tharoor,Penguin
The Mahabharata,R.K. Narayan,Penguin Classics
The Argumentative Indian,Amartya Sen,Picador
The Mouse Merchant,Arshia Sattar,Penguin
The Tao of Pooh,Benjamin Hoff,Penguin
The Kalki Trilogy,Kevin Missal,
How to Be a High School Superstar,Cal Newport,Crown
The Inquisitor's Tale,Adam Gidwitz,Dutton
The Evolution of Calpurnia Tate,Jacqueline Kelly,Henry Holt
The Story of V-1,Ian Stewart,Princeton
Fermat's Enigma,Simon Singh,Anchor Books
The Story of Philosophy,Bryan Magee,Pocket Books
Ideas That Changed the World,Felipe Fernandez-Armesto,DK
The People of the Indus,Nikhil Gulati,Penguin
The Complete Sherlock Holmes Volume 1,Sir Arthur Conan Doyle,Bantam
Physics,Freeman,
Broca's Brain,Carl Sagan,Ballantine Books
The Selfish Gene,Richard Dawkins,Oxford University Press
The Scientists,John Gribbin,Random House
The Grand Design,Stephen Hawking,Bantam Books
Archimedes to Hawking,,Oxford
Transformer,Nick Lane,Norton
The Fabric of Reality,David Deutsch,Penguin
Cosmos,Carl Sagan,Ballantine Books
The Origin of Species,Charles Darwin,Signet Classics
The Panda's Thumb,Stephen Jay Gould,Norton
Understanding Physics,Isaac Asimov,Barnes & Noble Books
Jellyfish Age Backwards,Nicklas Brendborg,"Little, Brown"
Numbers Don't Lie,Vaclav Smil,Penguin
The Road Ahead,Bill Gates,Viking
Skeptics' Guide to the Universe,Dr. Steven Novella,Grand Central Publishing
Uncommon Sense,Cromer,Oxford
The Inflationary Universe,Guth,Addison Wesley
2001: A Space Odyssey,Arthur C. Clarke,Roc
Asimov's Caliban,Roger MacBride Allen,Ace
Isaac Asimov's Foundation's Edge,Isaac Asimov,
Lord of the Flies,William Golding,Perigee
The Deerslayer,James Fenimore Cooper,Signet Classic
Adventures of Huckleberry Finn,Mark Twain,Bantam Classic
The Voyage of the Dawn Treader,C.S. Lewis,HarperTrophy
The Last Battle,C.S. Lewis,HarperTrophy
The Magician's Nephew,C.S. Lewis,HarperTrophy
"The Lion, the Witch and the Wardrobe",C.S. Lewis,HarperTrophy
Ulysses,James Joyce,Modern Library
The Hound of the Baskervilles,Arthur Conan Doyle,Signet Classic
Selected Stories,O. Henry,Penguin
A Space Odyssey,Arthur C. Clarke,Roc
Ivanhoe,Sir Walter Scott,Signet Classic
2010: Odyssey Two,Arthur C. Clarke,Del Rey
Lost Horizon,James Hilton,Pocket Books
Moby-Dick,Herman Melville,Bantam Classic
Cryptonomicon,Neal Stephenson,Perennial
The Road,Cormac McCarthy,Vintage
The Ministry of Utmost Happiness,Arundhati Roy,Knopf
Through the Lens,,National Geographic
Route 66: The Mother Road,Michael Wallis,St. Martin's Press
A Better Way to Think,H.G. Wells,Penguin
Ticket to Ride,Colin MacInnes,Penguin
The Man Who Walked Through Time,Colin Fletcher,Vintage
"100 Drives, 5000 Ideas",Joe Yogerst,National Geographic
Around the World in 80 Days,Michael Palin,BBC Books
Roots,Alex Haley,Vanguard Press
"Ada Lovelace, Poet of Science",Diane Stanley/Jessie Hartland,Simon & Schuster
Journey,Aaron Becker,Candlewick Press
Quest,Aaron Becker,Candlewick Press
A Child's Introduction to Natural History,Heather Alexander,Black Dog & Leventhal
My Nursery Rhymes Collection,,Usborne
A Child's Introduction to The Night Sky,Michael Driscoll,Black Dog & Leventhal
Machines and How They Work,David Burnie,DK
Celebrations!,Barnabas and Anabel Kindersley,DK
People in the Past,,DK
Cinderella,Barbara Karlin,Little Simon
The Little Prince,Antoine de Saint-Exupéry,Harcourt
Alice's Adventures in Wonderland,Robert Sabuda,Little Simon
The Picture Atlas of the World,,Discovery Toys
The Great Atlas of Discovery,,Knopf
The Natural History of the Universe,Colin Ronan,Macmillan
From So Simple a Beginning,Clive Gamble,Macmillan
The Universe,Tyson/Liu/Irion,National Geographic
World Atlas,,DK
Simple Science Experiments,,DK
The New Way Things Work,David Macaulay,HMH
Earth & Space,,DK
Great Artists Explained,Robert Cumming,DK
Presidents,James Barber,DK
Great Composers,Wendy Thompson,DK
Rocks & Minerals,Steve Parker,DK
Music,Neil Ardley,DK
101 Great Science Experiments,Neil Ardley,DK
What If...,,DK
Wings of Fire,A.P.J. Abdul Kalam,Universities Press
American History,,DK
Thank You for Arguing,Jay Heinrichs,Three Rivers Press
Farnsworth's Classical English Argument,Ward Farnsworth,Godine
Save the Cat! Writes a Novel,Jessica Brody,Ten Speed Press
A Whack on the Side of the Head,Roger von Oech,Business Plus
Games for the Superintelligent,James L. Adams,Warner Books
The Stories of English,David Crystal,Overlook Press
How to Read a Book,Mortimer J. Adler and Charles Van Doren,Touchstone
On Writing,Stephen King,Scribner
Bird by Bird,Anne Lamott,Anchor Books
The Laws of Human Nature,Robert Greene,Viking
The Road Less Stupid,Keith J. Cunningham,Keys to the Vault
The First 90 Days,Michael D. Watkins,Harvard Business Review Press
Instant Vocabulary,Ida Ehrlich,Pocket Books
Malory Towers Collection 3,Enid Blyton,Egmont
Malory Towers Collection 1,Enid Blyton,Egmont
Aryans,Charles Allen,Hachette
Sapiens,Yuval Noah Harari,Harper
The Enlightenment,Ritchie Robertson,Harper
Antifragile,Nassim Nicholas Taleb,Random House
The Goal,Eliyahu M. Goldratt,North River Press
Alchemy,Rory Sutherland,William Morrow
A Short History of Nearly Everything,Bill Bryson,Broadway Books
Niksen,Annette Lavrijsen,Penguin
